,上映日期,分类,国家,导演演员,标题,简评,评分,评论人数
0,1994 , 犯罪剧情, 美国 ,导演:弗兰克·德拉邦特FrankDarabont   主演:蒂姆·罗宾斯TimRobbins/,肖申克的救赎,希望让人自由。,9.6,1025113人
1,1993 , 剧情爱情同性, 中国大陆香港 ,导演:陈凯歌KaigeChen   主演:张国荣LeslieCheung/张丰毅FengyiZha,霸王别姬,风华绝代。,9.5,745854人
2,1994 , 剧情动作犯罪, 法国 ,导演:吕克·贝松LucBesson   主演:让·雷诺JeanReno/娜塔莉·波特曼,这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事。,9.4,960405人
3,1994 , 剧情爱情, 美国 ,导演:RobertZemeckis   主演:TomHanks/RobinWrightPenn/GarySinise,阿甘正传,一部美国近现代史。,9.4,817167人
4,1997 , 剧情喜剧爱情战争, 意大利 ,导演:罗伯托·贝尼尼RobertoBenigni   主演:罗伯托·贝尼尼RobertoBeni,美丽人生,最美的谎言。,9.5,477234人
5,2001 , 剧情动画奇幻, 日本 ,导演:宫崎骏HayaoMiyazaki   主演:柊瑠美RumiHîragi/入野自由Miy,千与千寻,最好的宫崎骏，最好的久石让。 ,9.3,765005人
6,1997 , 剧情爱情灾难, 美国 ,导演:詹姆斯·卡梅隆JamesCameron   主演:莱昂纳多·迪卡普里奥Leonardo,泰坦尼克号,失去的才是永恒的。 ,9.3,756746人
7,1993 , 剧情历史战争, 美国 ,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:连姆·尼森LiamNeeson,辛德勒的名单,拯救一个人，就是拯救整个世界。,9.4,434481人
8,2010 , 剧情科幻悬疑冒险, 美国英国 ,导演:克里斯托弗·诺兰ChristopherNolan   主演:莱昂纳多·迪卡普里奥Le,盗梦空间,诺兰给了我们一场无法盗取的梦。,9.3,855900人
9,2008 , 爱情科幻动画冒险, 美国 ,导演:安德鲁·斯坦顿AndrewStanton   主演:本·贝尔特BenBurtt/艾丽,机器人总动员,小瓦力，大人生。,9.3,561168人
